summary_level,slide,cell_state,if_marker,n_cells,mean_value,median_value,q25,q75,pct_above_slide_q80,other_mean_value,delta_log1p_vs_rest
slide,slide6,tumor epithelial-like,Mean.MembraneStain,20712,7023.32531865585,6011.5,3700.75,9357.25,0.50617999227501,2984.00065893516,1.08104631735977
slide,slide6,immune-like,Mean.PanCK,25564,1498.65553121577,349,161,1053,0.0833985291816617,2796.45737704918,-0.246987545701224
slide,slide6,immune-like,Mean.CD45,25564,235.465811297137,206,171,251,0.54263808480676,123.779555485498,0.655915668610319
slide,slide6,immune-like,Mean.CD3,25564,1909.24788765451,1018.5,290,2606,0.51881552182757,334.058149432535,1.42347017386236
slide,slide6,immune-like,Mean.DAPI,25564,686.359450790174,649,459,872,0.370442810201846,489.230926860025,0.360961524911541
slide,slide6,immune-like,Mean.MembraneStain,25564,3931.99644030668,2911,1810.75,4743,0.169926459083086,3920.75866960908,0.250885635476357
slide,slide6,other/background,Mean.PanCK,29609,1084.45958998953,201,86,585,0.0506264986997197,3091.32287229565,-1.19878148000497
slide,slide6,other/background,Mean.CD45,29609,124.635550001689,113,82,142,0.141612347597014,171.423335297584,-0.333693180931546
slide,slide6,other/background,Mean.CD3,29609,413.32027424094,214,119,400,0.119727110000338,972.517248926677,-0.503073995655957
slide,slide6,other/background,Mean.DAPI,29609,516.213617481171,477,323,664,0.168800027018812,560.625204141763,-0.0843952014200502
slide,slide6,other/background,Mean.MembraneStain,29609,2552.6793542504,1613,749,3032,0.0873045357830389,4607.59666638606,-0.783502556774288
