summary_level,slide,fov,target_type,n_cells,n_tgf_query,n_target,median_actual_distance,median_random_query_distance,median_random_target_distance,ratio_actual_to_random_query,ratio_actual_to_random_target,n_fov
fov,slide4,11,CAF/matrix-like,5707,340,531,0,123.563316694027,109.84064296133,0,0,
fov,slide4,11,PanCK-high tumor epithelial-like,5707,340,152,572.857769655559,733.634444709533,199.185482216656,0.780849064253478,2.87600162060233,
fov,slide4,12,CAF/matrix-like,3664,406,716,0,87.1015701605261,80.4052234704328,0,0,
fov,slide4,12,PanCK-high tumor epithelial-like,3664,406,258,844.978861411061,728.08882489022,124.0845935027,1.1605436486935,6.80970004058298,
fov,slide4,13,CAF/matrix-like,5184,891,1247,0,66.2193325245732,65.4904573201318,0,0,
fov,slide4,13,PanCK-high tumor epithelial-like,5184,891,370,168.157664113177,217.910532099759,107.912001186152,0.771682132537746,1.55828510513024,
fov,slide4,14,CAF/matrix-like,4932,814,1101,0,76.9382369369851,70.1355699367956,0,0,
fov,slide4,14,PanCK-high tumor epithelial-like,4932,814,624,192.089540524585,237.360438227134,86.9913776964415,0.809273617622713,2.20814459560448,
fov,slide4,15,CAF/matrix-like,4281,251,528,0,111.825757319144,81.4370922860093,0,0,
fov,slide4,15,PanCK-high tumor epithelial-like,4281,251,522,75,342.644130257619,101.400197238467,0.218885990965644,0.739643531694711,
fov,slide4,16,CAF/matrix-like,3551,390,710,0,87.0114866627004,77.1909972757115,0,0,
fov,slide4,16,PanCK-high tumor epithelial-like,3551,390,345,468.679949240091,359.70924533478,110.023991788315,1.30294107065247,4.25979771886322,
fov,slide4,17,CAF/matrix-like,5610,714,823,0,80.6100957362174,76.3510443765283,0,0,
fov,slide4,17,PanCK-high tumor epithelial-like,5610,714,406,346.505373524028,422.720632149392,104.333585017969,0.819703007544641,3.32112975380219,
fov,slide4,18,CAF/matrix-like,5594,601,1069,0,76.0263112349929,73.0616178304313,0,0,
fov,slide4,18,PanCK-high tumor epithelial-like,5594,601,693,191.637678967368,308.058436014987,81.8413098624405,0.622082230392304,2.34157639081625,
fov,slide4,19,CAF/matrix-like,4897,485,808,59.2283715798434,96.4209520799292,74.3303437365925,0.614268686444264,0.796826283889301,
fov,slide4,19,PanCK-high tumor epithelial-like,4897,485,1232,60.2079728939615,166.207701385947,70.6045324324154,0.362245385694578,0.852749403185896,
fov,slide4,20,CAF/matrix-like,5106,410,814,40.7825924923991,114.071372281206,81.5045343761438,0.357518207038509,0.500372068923027,
fov,slide4,20,PanCK-high tumor epithelial-like,5106,410,1902,79.5702959403308,83.8385358355807,50.7222560087108,0.949089761018483,1.56874520578631,
fov,slide5,11,CAF/matrix-like,3058,226,668,0,80.1998427333908,83.7761732334456,0,0,
fov,slide5,11,PanCK-high tumor epithelial-like,3058,226,118,441.928099224974,537.637368357906,169.916988529973,0.821981739429209,2.60084705507254,
fov,slide5,12,CAF/matrix-like,3043,419,595,108.93117092917,90.4433524367601,75.9605160593322,1.20441323761563,1.43404990619185,
fov,slide5,12,PanCK-high tumor epithelial-like,3043,419,14,1029.95242608579,1102.8585584743,510.651544597684,0.933893488128372,2.01693784535056,
fov,slide5,13,CAF/matrix-like,3521,332,597,0,90.804709473489,93.3916386276522,0,0,
fov,slide5,13,PanCK-high tumor epithelial-like,3521,332,144,297.099721044634,395.927292868927,196.15677936742,0.750389595250737,1.5146033800246,
fov,slide5,14,CAF/matrix-like,4388,298,196,188.871391299042,391.868824204027,173.662028035344,0.481976058398322,1.08758024673421,
fov,slide5,14,PanCK-high tumor epithelial-like,4388,298,1210,0,73.5830821336375,77.2365353201719,0,0,
fov,slide5,15,CAF/matrix-like,3797,214,114,294.100442746105,400.548180635819,177.728108609996,0.734244859829992,1.6547773171405,
fov,slide5,15,PanCK-high tumor epithelial-like,3797,214,1049,0,67.1490379021577,73.5966867131917,0,0,
fov,slide5,16,CAF/matrix-like,4383,333,286,111.004504413109,195.645086828164,124.679589348057,0.567376907913894,0.890318174719266,
fov,slide5,16,PanCK-high tumor epithelial-like,4383,333,759,70.6045324324154,128.456218222397,83.2586331859946,0.549638884045127,0.848014550931785,
fov,slide5,17,CAF/matrix-like,4306,320,445,69.3477338946927,161.882202984811,94.3199008960013,0.428383927424062,0.735239681508536,
fov,slide5,18,CAF/matrix-like,3719,447,929,0,85.5862138431185,78.2623792124926,0,0,
fov,slide5,18,PanCK-high tumor epithelial-like,3719,447,307,701.262433044862,515.652984089106,122.873919120373,1.35995030511388,5.70717071665853,
fov,slide5,19,CAF/matrix-like,2980,215,243,143.178210632764,246.219414344198,106.920531236989,0.58150658433705,1.33910867235975,
fov,slide5,19,PanCK-high tumor epithelial-like,2980,215,5,1123.58889278953,1332.7434111636,909.178200354584,0.843064676499534,1.23582911727462,
fov,slide5,20,CAF/matrix-like,4102,401,595,0,108.171160666788,82.0975030070952,0,0,
fov,slide5,21,CAF/matrix-like,3723,213,207,130.142229887151,248.477363154071,151.604749265978,0.523758897934114,0.858431088189903,
fov,slide5,21,PanCK-high tumor epithelial-like,3723,213,825,75.591004755857,103.773792452623,76.2167960491649,0.728420952625083,0.991789325637564,
fov,slide5,22,CAF/matrix-like,3352,274,317,109.145484342442,180.81442059009,126.685606079418,0.603632630551502,0.861546056574256,
fov,slide5,22,PanCK-high tumor epithelial-like,3352,274,513,86.1375819923947,141.668627261558,94.7588663929363,0.608021575823993,0.909018704753265,
fov,slide5,23,CAF/matrix-like,4215,413,449,0,169.387130561917,101.950968607463,0,0,
fov,slide5,23,PanCK-high tumor epithelial-like,4215,413,936,92.655275079188,81.3941029804985,67.6017751246223,1.13835366060103,1.37060417286943,
fov,slide5,24,CAF/matrix-like,3188,447,488,0,129.417927660738,95.603347221737,0,0,
fov,slide5,24,PanCK-high tumor epithelial-like,3188,447,806,96.7729300992793,89.5544527089525,75.6637297521078,1.08060433816492,1.27898704460288,
fov,slide5,25,CAF/matrix-like,3052,367,382,0,124.458828533777,106.531685427388,0,0,
fov,slide5,25,PanCK-high tumor epithelial-like,3052,367,5,1641.76734039875,2149.7134692791,1182.9192702801,0.763714496773988,1.38789466166191,
fov,slide5,26,CAF/matrix-like,2637,329,354,0,152.266214243344,106.21675950621,0,0,
fov,slide5,26,PanCK-high tumor epithelial-like,2637,329,87,353.05098781904,413.532344563276,201.201391645287,0.853744555802257,1.75471444273835,
fov,slide5b2,1,CAF/matrix-like,3192,377,234,151.16216457831,218.048159817963,120.602653370479,0.693251273959418,1.2533900403829,
fov,slide5b2,1,PanCK-high tumor epithelial-like,3192,377,526,87.6641317757725,112.361025271221,71.3091859440283,0.780200532739583,1.2293525808103,
fov,slide5b2,2,CAF/matrix-like,2181,275,197,118.105884696742,236.315467119696,119.970829787911,0.499780594712067,0.984455012151981,
fov,slide5b2,2,PanCK-high tumor epithelial-like,2181,275,390,92.9623579735368,106.550457530693,82.0792300158816,0.872472630600934,1.13259295872475,
fov,slide5b2,3,CAF/matrix-like,2355,252,230,0,197.496835417685,130.583154949114,0,0,
fov,slide5b2,3,PanCK-high tumor epithelial-like,2355,252,276,133.35862918971,158.059883519757,107.184419266184,0.843722178075885,1.24419789837668,
fov,slide5b2,4,CAF/matrix-like,2591,308,299,154.722260525587,182.898971600815,104.832990798636,0.845943851796361,1.47589284009629,
fov,slide5b2,4,PanCK-high tumor epithelial-like,2591,308,474,68.9309944252977,114.303199306256,84.5274757412346,0.60305393762959,0.815486252497559,
fov,slide5b2,5,CAF/matrix-like,2440,228,114,192.295749173651,359.857011872248,176.435448867562,0.534367103681496,1.08989293482624,
fov,slide5b2,5,PanCK-high tumor epithelial-like,2440,228,347,85.8655690057027,119.117546361928,100.232078522341,0.720847361519755,0.856667548668699,
fov,slide5b2,6,CAF/matrix-like,2985,428,395,72.3356254393778,115.976475242775,99.9724383886739,0.623709465975376,0.723555677997476,
fov,slide5b2,6,PanCK-high tumor epithelial-like,2985,428,402,97.3497456964077,113.216606555752,89.0140434370254,0.859853944204457,1.09364479960153,
fov,slide5b2,7,CAF/matrix-like,4536,661,480,115.732450073434,131.228807812919,92.8008620649615,0.881913445700306,1.24710533391835,
fov,slide5b2,7,PanCK-high tumor epithelial-like,4536,661,858,74.3303437365925,99.0807751281751,72.9451848993475,0.750199457366332,1.0189890373046,
fov,slide5b2,8,CAF/matrix-like,3841,680,263,221.961526933934,376.5182619104,121.119747289054,0.589510654297971,1.83257917806103,
fov,slide5b2,8,PanCK-high tumor epithelial-like,3841,680,1034,53.6330022965123,67.4722164025407,60.8194042425127,0.794890180819563,0.881840310086808,
fov,slide5b2,9,CAF/matrix-like,3268,514,225,174.054055754695,193.979873835102,115.010776840346,0.897278940920717,1.51337170773406,
fov,slide5b2,9,PanCK-high tumor epithelial-like,3268,514,901,44.9722050542442,68.8438326655578,60.1248677618072,0.653249584065409,0.747980107538992,
fov,slide5b2,10,CAF/matrix-like,2311,410,212,155.720419517453,207.268974168583,114.666772924455,0.751296329525891,1.35802565595916,
fov,slide5b2,10,PanCK-high tumor epithelial-like,2311,410,704,49.7342205887751,66.9646777350238,53.8377173172683,0.742693346267881,0.92378026162753,
fov,slide5b2,11,CAF/matrix-like,2364,202,430,75.0965719097377,83.3396542787835,83.945158621502,0.901090513989037,0.894590863165064,
fov,slide5b2,11,PanCK-high tumor epithelial-like,2364,202,261,75.0965719097377,353.769880107284,132.743991621729,0.212275199592922,0.565724828613975,
fov,slide5b2,12,CAF/matrix-like,2170,172,213,148.166799173459,158.752571248473,120.43871013386,0.933319051201728,1.23022572235107,
fov,slide5b2,12,PanCK-high tumor epithelial-like,2170,172,271,50.3150013303476,164.644721488725,121.664865293278,0.305597415303674,0.413554079142415,
fov,slide5b2,13,CAF/matrix-like,2571,347,390,141.876707038189,121.078486941322,83.0963296421789,1.17177469443391,1.70737633839092,
fov,slide5b2,13,PanCK-high tumor epithelial-like,2571,347,439,46.8187996428785,142.435950518119,87.9204185613364,0.328700721079001,0.532513384364931,
fov,slide5b2,14,CAF/matrix-like,2793,208,443,45.675674864516,102.632164071638,88.5465956962767,0.445042499860319,0.515837729337308,
fov,slide5b2,14,PanCK-high tumor epithelial-like,2793,208,267,110.485597334231,283.706546160743,135.027143679147,0.389436193240431,0.818247311790642,
fov,slide5b2,15,CAF/matrix-like,3011,384,406,98.5002213147867,111.927978114398,83.2135762294844,0.880032168669326,1.18370373895655,
fov,slide5b2,15,PanCK-high tumor epithelial-like,3011,384,588,61.6643918499177,148.045494902872,81.8928120609988,0.41652325786998,0.752989063362316,
fov,slide5b2,16,CAF/matrix-like,3132,152,283,43.3371208208923,139.349391955679,113.247462738697,0.310996124293645,0.382676307025851,
fov,slide5b2,16,PanCK-high tumor epithelial-like,3132,152,166,77.2462278802942,311.018851671897,155.503777220748,0.248365098980507,0.496748241495368,
fov,slide5b2,17,CAF/matrix-like,2976,356,439,68.2989910910016,141.389443297837,94.2893790495818,0.483055803162969,0.724355084097932,
fov,slide5b2,17,PanCK-high tumor epithelial-like,2976,356,445,74.9219989068763,412.853179826502,113.09507456341,0.181473711643354,0.662469158768438,
fov,slide5b2,18,CAF/matrix-like,3429,335,642,0,96.0468635614927,78.1024967590665,0,0,
fov,slide5b2,18,PanCK-high tumor epithelial-like,3429,335,350,108.784190027779,335.764798631423,116.726175299288,0.323989264125315,0.931960545686134,
fov,slide5b2,19,CAF/matrix-like,3388,85,251,0,139.359247988786,132.672529183701,0,0,
fov,slide5b2,19,PanCK-high tumor epithelial-like,3388,85,73,346.96541614403,446.279060678406,263.825700036975,0.777462907662741,1.31513122525744,
fov,slide5b2,20,CAF/matrix-like,3035,164,496,0,95.493036690237,107.90235150612,0,0,
fov,slide5b2,20,PanCK-high tumor epithelial-like,3035,164,16,580.083109115021,667.035700374579,460.885712216958,0.869643272150607,1.25862679996023,
fov,slide5b2,21,CAF/matrix-like,2265,61,247,0,130.384048104053,154.466824917197,0,0,
fov,slide5b2,21,PanCK-high tumor epithelial-like,2265,61,68,1111.3496299545,1021.6070673209,219.276081686991,1.08784450059547,5.06826654965912,
fov,slide5b2,22,CAF/matrix-like,2471,76,62,84.9572757663311,343.351744715918,168.344003523963,0.247435107215264,0.504664698402743,
fov,slide5b2,22,PanCK-high tumor epithelial-like,2471,76,287,0,112.446906706304,96.5784196944558,0,0,
fov,slide5b2,23,CAF/matrix-like,4480,240,441,0,113.826462161927,100.06433213982,0,0,
fov,slide5b2,23,PanCK-high tumor epithelial-like,4480,240,345,115.289858230154,163.304915524924,103.244511901276,0.705979105770138,1.1166681512369,
fov,slide5b2,24,CAF/matrix-like,1991,269,532,0,85.146931829632,94.847245611035,0,0,
fov,slide5b2,24,PanCK-high tumor epithelial-like,1991,269,200,571.742949235056,547.819313277654,130.648383074572,1.04367066910121,4.37619613637864,
fov,slide5b2,25,CAF/matrix-like,3625,590,423,132.323608607739,151.320571803106,92.0244532318433,0.874458819650211,1.43791790073849,
fov,slide5b2,25,PanCK-high tumor epithelial-like,3625,590,824,67.5758094470519,92.4304566813402,71.3755426626518,0.731098945881267,0.946764212588073,
fov,slide5b3,1,CAF/matrix-like,1062,51,23,192.675893666021,664.849607054107,253.207424851642,0.289803726469438,0.760940931249994,
fov,slide5b3,1,PanCK-high tumor epithelial-like,1062,51,249,0,117.209214654821,104.139329746259,0,0,
fov,slide5b3,2,CAF/matrix-like,2777,284,304,81.8973965516021,135.04759981702,100.486283936993,0.606433558704985,0.815010699400061,
fov,slide5b3,2,PanCK-high tumor epithelial-like,2777,284,585,78.2995681529114,129.16977102512,73.0684597668447,0.606175636385423,1.07159187976261,
fov,slide5b3,3,CAF/matrix-like,1965,130,42,375.249937892862,402.985051600703,213.254061797568,0.931175825014667,1.75963793950649,
fov,slide5b3,3,PanCK-high tumor epithelial-like,1965,130,537,33.4138304628396,66.1587748767915,63.7381784386522,0.505055157461224,0.524235729375295,
fov,slide5b3,6,CAF/matrix-like,1143,47,50,72.0624728967857,344.448835097464,177.496478838313,0.209210964166551,0.405993816713568,
fov,slide5b3,6,PanCK-high tumor epithelial-like,1143,47,104,180.155488398217,208.777393412218,102.303470126873,0.862907067924308,1.76099098275742,
fov,slide5b3,7,CAF/matrix-like,1751,79,71,253.221247133815,194.195777503014,198.022725968511,1.30394826494044,1.27874841584638,
fov,slide5b3,7,PanCK-high tumor epithelial-like,1751,79,167,0,325.498079871449,162.077142126828,0,0,
fov,slide5b3,8,CAF/matrix-like,1466,108,23,329.640477688137,775.942572474233,358.858719025084,0.424825869054999,0.918580099108851,
fov,slide5b3,8,PanCK-high tumor epithelial-like,1466,108,267,0,187.530675210074,126.35429696086,0,0,
fov,slide5b3,10,CAF/matrix-like,3067,175,234,89.0224690738243,151.211772028503,115.550854605234,0.588727106888502,0.770418093210638,
fov,slide5b3,10,PanCK-high tumor epithelial-like,3067,175,304,72.1803297304744,145.910931735768,110.113577727726,0.494687607513785,0.655507987479546,
fov,slide5b3,11,CAF/matrix-like,5260,708,627,62.1247145867397,101.543093822358,87.3927622027722,0.611806399117819,0.710867960010183,
fov,slide5b3,11,PanCK-high tumor epithelial-like,5260,708,446,119.050398823181,154.4177743137,102.088159097779,0.770963053652942,1.16615286116734,
fov,slide5b3,13,CAF/matrix-like,3040,142,181,108.195460966651,165.47203039109,139.176147381654,0.653859511549675,0.777399453873032,
fov,slide5b3,13,PanCK-high tumor epithelial-like,3040,142,849,0,67.1340601176843,72.3696651467257,0,0,
fov,slide5b3,14,CAF/matrix-like,3774,521,403,88.0567998510053,112.445542374965,101.833196944808,0.783106186258305,0.864716050294786,
fov,slide5b3,14,PanCK-high tumor epithelial-like,3774,521,535,115.801554393713,176.875662542929,87.1320836431679,0.654705982320247,1.32903460530056,
fov,slide5b3,15,CAF/matrix-like,5067,790,469,86.5245571491022,121.459684892112,98.0943017885408,0.712372646330827,0.882054875477078,
fov,slide5b3,15,PanCK-high tumor epithelial-like,5067,790,456,105.513025560028,133.749765519043,97.9910837754059,0.788883817108488,1.07676149191147,
fov,slide5b3,16,CAF/matrix-like,3619,348,247,90.812881837588,141.785048401608,112.735554533019,0.640496884977319,0.805538964293557,
fov,slide5b3,16,PanCK-high tumor epithelial-like,3619,348,311,92.7898353385291,136.060557864834,99.0883210046772,0.681974532477727,0.936435640423751,
fov,slide5b3,18,CAF/matrix-like,2446,340,289,84.2671606993519,117.852300046109,93.9680646216682,0.715023471467104,0.896763821183571,
fov,slide5b3,18,PanCK-high tumor epithelial-like,2446,340,788,15.8113883008419,70.8343136307792,62.2454660849629,0.223216510337886,0.25401670668286,
fov,slide5b3,19,CAF/matrix-like,2931,328,239,136.541633813439,157.785906948955,128.379334057396,0.865360135475284,1.06357954585116,
