slide,median_log2_oe,median_within_fov_null_p,median_within_slide_null_p,median_abundance_random_target_p,fov_support_gt0,fov_support_gt025
slide1,0.582240660204748,0.032258064516129,0.032258064516129,0.032258064516129,1,0.947368421052632
slide2,0.35852274222925,0.032258064516129,0.032258064516129,0.032258064516129,0.80952380952381,0.714285714285714
slide3,0.532975205643995,0.032258064516129,0.032258064516129,0.032258064516129,1,0.842105263157895
slide4,0.610273285241779,0.032258064516129,0.032258064516129,0.032258064516129,1,1
slide6,1.08677064436,0.032258064516129,0.032258064516129,0.032258064516129,1,1
slide5,0.987415796716112,0.032258064516129,0.032258064516129,0.032258064516129,0.9375,0.9375
slide5b2,0.745981133479403,0.032258064516129,0.032258064516129,0.032258064516129,1,0.84
slide5b3,0.847114632355959,0.032258064516129,0.032258064516129,0.032258064516129,1,1
