left_out_slide,n_slides_remaining,median_slide_log2_oe,slide_support_fraction_gt0,delta_from_all_slide_median
slide1,7,0.745981133479403,1,0.0678539241188122
slide2,7,0.745981133479403,1,0.0678539241188122
slide3,7,0.745981133479403,1,0.0678539241188122
slide4,7,0.745981133479403,1,0.0678539241188122
slide6,7,0.610273285241779,1,-0.0678539241188122
slide5,7,0.610273285241779,1,-0.0678539241188122
slide5b2,7,0.610273285241779,1,-0.0678539241188122
slide5b3,7,0.610273285241779,1,-0.0678539241188122
