dataset_id,accession,cohort_role,sample_id,gsm_id,patient_id,section_id,specimen_type,disease,treatment_context,platform,expression_path,raw_expression_path,spatial_path,image_path,coordinates_path,scalefactors_path,metadata_source,has_expression_expected,has_coordinates_expected,has_image_expected,public_no_auth,include_primary,include_reason,exclude_reason,notes
GSE272362,GSE272362,main_primary_metastasis,GSM8399450_S13_Sample1_B9,GSM8399450,patient_id_unknown_GSM8399450_S13_Sample1_B9,GSM8399450_S13_Sample1_B9,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399450_S13_Sample1_B9_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399450_S13_Sample1_B9_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399450_S13_Sample1_B9_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399450_S13_Sample1_B9_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399451_S13_Sample2_E11_Blk,GSM8399451,patient_id_unknown_GSM8399451_S13_Sample2_E11_Blk,GSM8399451_S13_Sample2_E11_Blk,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399451_S13_Sample2_E11_Blk_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399451_S13_Sample2_E11_Blk_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399451_S13_Sample2_E11_Blk_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399451_S13_Sample2_E11_Blk_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399452_S13_Sample3_E11_Blu,GSM8399452,patient_id_unknown_GSM8399452_S13_Sample3_E11_Blu,GSM8399452_S13_Sample3_E11_Blu,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399452_S13_Sample3_E11_Blu_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399452_S13_Sample3_E11_Blu_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399452_S13_Sample3_E11_Blu_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399452_S13_Sample3_E11_Blu_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399453_S13_Sample4_F1_Blk,GSM8399453,patient_id_unknown_GSM8399453_S13_Sample4_F1_Blk,GSM8399453_S13_Sample4_F1_Blk,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399453_S13_Sample4_F1_Blk_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399453_S13_Sample4_F1_Blk_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399453_S13_Sample4_F1_Blk_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399453_S13_Sample4_F1_Blk_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399454_S13_Sample5_F1_Blu,GSM8399454,patient_id_unknown_GSM8399454_S13_Sample5_F1_Blu,GSM8399454_S13_Sample5_F1_Blu,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399454_S13_Sample5_F1_Blu_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399454_S13_Sample5_F1_Blu_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399454_S13_Sample5_F1_Blu_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399454_S13_Sample5_F1_Blu_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399455_S14_Sample6_A1,GSM8399455,patient_id_unknown_GSM8399455_S14_Sample6_A1,GSM8399455_S14_Sample6_A1,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399455_S14_Sample6_A1_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399455_S14_Sample6_A1_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399455_S14_Sample6_A1_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399455_S14_Sample6_A1_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399456_S14_Sample7_B2,GSM8399456,patient_id_unknown_GSM8399456_S14_Sample7_B2,GSM8399456_S14_Sample7_B2,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399456_S14_Sample7_B2_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399456_S14_Sample7_B2_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399456_S14_Sample7_B2_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399456_S14_Sample7_B2_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399457_S17_Sample8_A1,GSM8399457,patient_id_unknown_GSM8399457_S17_Sample8_A1,GSM8399457_S17_Sample8_A1,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399457_S17_Sample8_A1_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399457_S17_Sample8_A1_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399457_S17_Sample8_A1_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399457_S17_Sample8_A1_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399458_S17_Sample9_H6,GSM8399458,patient_id_unknown_GSM8399458_S17_Sample9_H6,GSM8399458_S17_Sample9_H6,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399458_S17_Sample9_H6_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399458_S17_Sample9_H6_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399458_S17_Sample9_H6_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399458_S17_Sample9_H6_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
GSE272362,GSE272362,main_primary_metastasis,GSM8399459_S18_Sample10_A1,GSM8399459,patient_id_unknown_GSM8399459_S18_Sample10_A1,GSM8399459_S18_Sample10_A1,metadata_required,PDAC,not_applicable_mixed_primary_metastatic,spatial_transcriptomics_author_processed,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399459_S18_Sample10_A1_spatial_enrichment.csv,,,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399459_S18_Sample10_A1_tissue_hires_image.png,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399459_S18_Sample10_A1_tissue_positions.csv,E:\PDAC_TLS\pdac_spatial_ecology\data\raw\GSE272362\GSM8399459_S18_Sample10_A1_scalefactors_json.json,GEO_filelist,true,true,true,true,true,mvp_expected_complete,,expression_file_is_spatial_enrichment_csv_not_raw_count_matrix
