"column"
"nCount_Spatial"
"nFeature_Spatial"
"percent_mito"
"percent_hb"
"nCount_SCT"
"nFeature_SCT"
"SCT_snn_res.0.8"
"seurat_clusters"
"integrated_snn_res.0.8"
"Sample_ID2"
"SeuratID_OLD"
"SlideName"
"AreaCode"
"Origin"
"DV200_."
"Treatment"
"Age"
"Ethnic"
"Gender"
"Location_in_pancreas"
"AJCC_stage"
"Histology"
"R0_ressection"
"Peripheral_Nerve_Invasion"
"Lymphovascular_Invasion"
"Nodes_collected"
"Nodes_positive"
"Tumor_Grade_Histology"
"Data_of_Surgery_start_point_in_survival_analysis"
"Neoadjuvant_Chemo"
"NOTES"
"spot_class"
"first_type"
"second_type"
"first_class"
"second_class"
"min_score"
"singlet_score"
"conv_all"
"conv_doublet"
"orig.ident"
"patient"
"integrated_snn_res.0"
"integrated_snn_res.0.2"
"integrated_snn_res.0.25"
"integrated_snn_res.0.3"
"integrated_snn_res.0.35"
"integrated_snn_res.0.4"
"integrated_snn_res.0.5"
"integrated_snn_res.0.6"
"integrated_snn_res.0.7"
"CompositionCluster_CC"
"cc_ischia"
"cc_ischia_10"
"cc_ischia_12"
"cc_ischia_16"
"cc_ischia_18"
"nCount_fges"
"nFeature_fges"
"barcode"
