marker_query,matched_marker,available
SMA_ACTA2,SMAVIM,TRUE
Collagen,Collagen,TRUE
Vimentin,SMAVIM,TRUE
FAP,,FALSE
PDPN,Podoplanin,TRUE
Fibronectin,,FALSE
CD68,CD68,TRUE
CD163,CD163,TRUE
CD11b,,FALSE
CD14,,FALSE
HLA_DR,HLADR,TRUE
CD74,CD74,TRUE
CD45,CD45RA;CD45RO,TRUE
CD206_MRC1,CD206,TRUE
panCK_CK,CK,TRUE
EPCAM,,FALSE
CD3,CD3,TRUE
CD4,CD4,TRUE
CD8,CD8,TRUE
CD20,,FALSE
FOXP3,FOXP3,TRUE
CD44,,FALSE
Integrin,,FALSE
SPP1,,FALSE
