Patient,module,immune,stromal_fibroblast,tumor_epithelial,stromal_minus_tumor,immune_minus_tumor,fibroblast_minus_nonfibroblast,nonfibroblast,tme_like,tme_minus_tumor
MGH003,caf_mycaf,-0.424807166581441,1.55519594314426,-0.76692091691863,2.32211686006289,0.34211375033719,2.17106773165193,-0.615871788507662,-0.090139391463263,0.676781525455367
MGH003,pancaf_matrix,-0.209888224646979,0.763412744398385,-0.879332693656891,1.64274543805528,0.669444469009912,1.44860616318274,-0.685193418784354,-0.0553116993093912,0.8240209943475
MGH003,myeloid_macrophage,1.09014836424752,-0.382317680361151,-0.460610168105156,0.078292487744005,1.55075853235267,-0.315316818102412,-0.0670008622587389,0.243953377655692,0.704563545760848
MGH003,spp1_tam,0.300635549358773,-0.171571575646709,0.0237153333003584,-0.195286908947068,0.276920216058414,-0.32628170684256,0.154710131195851,-0.0795316970603393,-0.103247030360698
MGH003,tgfb_emt,-0.112213430348398,0.178036091784564,-0.632361655259384,0.810397747043948,0.520148224910987,0.742739985163315,-0.564703893378751,0.104387433231242,0.736749088490626
MGH003,ifn_apc,0.245941181919196,-0.433418573484009,-0.519217764203797,0.0857991907197887,0.765158946122993,-0.213667405656796,-0.219751167827213,-0.0546641264428266,0.464553637760971
MGH003,immune_core,0.35717862363787,-0.45285947927807,-0.652914120836372,0.200054641558302,1.01009274447424,-0.213879131363307,-0.238980347914763,-0.00883969862409952,0.644074422212272
MGH003,t_cell,0.657963300225398,-0.630563889791726,-1.05469838646777,0.424134496676046,1.71266168669317,-0.142807460540789,-0.487756429250937,-0.143232645150183,0.911465741317589
MGH003,b_plasma,-0.221451153172169,-0.591009632060382,-0.47757339707214,-0.113436234988243,0.256122243899971,-0.155124327015103,-0.43588530504528,-0.444132843380567,0.0334405536915725
MGH003,tumor_epithelial,-0.54624735991412,-0.0665274827240119,1.33997344813192,-1.40650093085593,-1.88622080804604,-0.456174073130602,0.38964659040659,-0.464539251557096,-1.80451269968902
MGH003,tumor_aggressive,-0.474615335786103,-0.222139860163572,0.880845093160468,-1.10298495332404,-1.35546042894657,-0.0959942887342217,-0.126145571429351,-0.355304596952021,-1.23614969011249
MGH004,caf_mycaf,-0.645792312191344,0.279317457585753,-0.765911491359818,1.04522894894557,0.120119179168474,0.993289315767369,-0.713971858181616,-0.308047278073716,0.457864213286103
MGH004,pancaf_matrix,-0.438335331072819,0.526842443948195,-0.698723617418168,1.22556606136636,0.260388286345349,1.12512870544455,-0.598286261496355,-0.120860069066139,0.57786354835203
MGH004,myeloid_macrophage,0.840349578847548,-0.00372412186725542,-0.418086897318857,0.414362775451602,1.25843647616641,0.0689542426162506,-0.072678364483506,0.30590682733091,0.723993724649767
MGH004,spp1_tam,-0.123436892727958,-0.523789030614467,-0.375286033397683,-0.148502997216784,0.251849140669725,-0.266816777801168,-0.256972252813299,-0.33614368759339,0.0391423458042935
MGH004,tgfb_emt,-0.182815312831524,0.302046715456717,0.0275107098081422,0.274536005648575,-0.210326022639666,0.389233785789133,-0.0871870703324154,-0.064120630132023,-0.0916313399401652
MGH004,ifn_apc,1.45096548356444,0.811247802445008,1.90193922457289,-1.09069142212788,-0.450973741008455,-0.959669018477805,1.77091682092281,1.12246905332276,-0.779470171250131
