module,gse199102_median_tme_minus_tumor,gse199102_tme_patient_support,gse199102_median_stromal_minus_tumor,gse199102_median_immune_minus_tumor,gse240078_delta_stroma_minus_tumor,gse240078_fdr,gse199102_direction,gse240078_direction,direction_concordant
b_plasma,0.118495707807683,0.7,0.12224771037244,0.145885241143696,,,tme_high,,
caf_mycaf,0.807553634903634,1,1.8742946987419,0.322361927197556,1.07631149363634,0,tme_high,stromal_high,TRUE
ifn_apc,0.22624691983389,0.8,-0.0153859176807112,0.675901150775744,0.16605683041727,0.0144058593185912,tme_high,stromal_high,TRUE
immune_core,0.327919674854149,1,0.177502564649256,0.603637688072189,0.709136141549444,0,tme_high,stromal_high,TRUE
myeloid_macrophage,0.477962841354362,1,0.179713362613966,1.1589377800064,0.926253154270486,0,tme_high,stromal_high,TRUE
pancaf_matrix,0.823572675762406,1,1.72813537133082,0.497763195375701,1.06568539820791,0,tme_high,stromal_high,TRUE
spp1_tam,-0.277501299004479,0.1,-0.362180136806893,0.102012344212288,-0.312314634424025,5.490414314845e-11,tumor_high_report_separately,tumor_high,
t_cell,0.577695667492223,1,0.371002462681757,1.03793960887663,0.966899762524054,0,tme_high,stromal_high,TRUE
tgfb_emt,0.444328041319515,0.85,0.706790455536819,0.285615636358057,0.378652924072247,8.91231533017844e-13,tme_high,stromal_high,TRUE
tumor_aggressive,-0.975263354041108,0,-0.978219659549984,-0.996936173117919,-0.744827209371476,1.13017936134476e-26,tumor_high,tumor_high,TRUE
tumor_epithelial,-1.09349980533317,0,-1.05164005147534,-1.11281075707563,-1.19900724631849,5.42951554243951e-35,tumor_high,tumor_high,TRUE
