dataset,sample_id,tissue_site,target_program,observed_rho,random_median_rho,delta_vs_random,empirical_p,support,source_file
GSE282302,GSM8641009_C1_D13_ROI1_s1,metadata_required,immune_maturity,-0.0766571941299376,-0.0106956414838305,-0.0659615526461071,0.032967032967033,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641010_C1_D13_ROI2_s1,metadata_required,immune_core,0.066499882208569,-0.0106725642145852,0.0771724464231541,0.984015984015984,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641010_C1_D13_ROI2_s1,metadata_required,ifn_mhc,0.0183877739953047,-0.00894935106767618,0.0273371250629809,0.803196803196803,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641010_C1_D13_ROI2_s1,metadata_required,tumor_aggressive,-0.354445137261982,0.00790939826621922,-0.362354535528201,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641010_C1_D13_ROI2_s1,metadata_required,immune_maturity,0.134254788461614,-0.0157402745763307,0.149995063037945,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641011_C1_D14_ROI1_s1,metadata_required,immune_core,0.140370205905604,0.00266843455618211,0.137701771349422,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641011_C1_D14_ROI1_s1,metadata_required,ifn_mhc,0.192265030382663,0.000473187872366261,0.191791842510297,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641011_C1_D14_ROI1_s1,metadata_required,tumor_aggressive,-0.0226573779349201,-0.00750378321594773,-0.0151535947189724,0.298701298701299,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641011_C1_D14_ROI1_s1,metadata_required,immune_maturity,0.313467177640854,-0.000558029634218602,0.314025207275072,1,False,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641012_C1_D14_ROI2_s1,metadata_required,immune_core,-0.12720859438339,0.000854989875488239,-0.128063584258878,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641012_C1_D14_ROI2_s1,metadata_required,ifn_mhc,-0.15885732558146,0.000888198073689854,-0.15974552365515,0.000999000999000999,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641012_C1_D14_ROI2_s1,metadata_required,tumor_aggressive,-0.00673200567714401,-0.00447646951499804,-0.00225553616214597,0.466533466533467,True,mvp_random_core_permutation_sample_stats.csv
GSE282302,GSM8641012_C1_D14_ROI2_s1,metadata_required,immune_maturity,-0.0822947454329254,0.000765949247892539,-0.083060694680818,0.00899100899100899,True,mvp_random_core_permutation_sample_stats.csv
