cohort_context,axis_id,axis_label,n_samples,median_core_enrichment,n_core_positive,median_interface_enrichment,n_interface_positive,median_rho_distance_to_caf_core,n_core_proximal
post_neoadjuvant_sections,tgfb_emt_invasive,TGF-beta/EMT invasive,108,1.0275921731581579,108,0.5681623242306652,104,-0.6129651609428333,108
primary_tumor,b_plasma_lymphoid,B/plasma lymphoid,10,0.15112256739483032,7,0.033280051702942445,5,-0.0799767265405842,6
primary_tumor,basal_hypoxic_tumor,Basal-hypoxic tumor,10,0.22910549595821372,9,0.4962362874808024,10,-0.18769115262011332,9
primary_tumor,classical_epithelial,Classical epithelial,10,0.023820111804368067,6,0.40206930732623186,10,-0.11671569104493626,6
primary_tumor,icaf_cytokine_chemokine,iCAF cytokine/chemokine,10,0.5742478426466673,10,0.07211200570417922,8,-0.23945190528264926,9
primary_tumor,ifn_apc_antigen,IFN/APC antigen,10,0.5799196291422739,10,0.2618946368438993,10,-0.2440785147288989,10
primary_tumor,spp1_tam_matrix,SPP1-TAM/matrix,10,1.2284539145185118,10,0.5429631314630847,10,-0.5556353819357991,10
primary_tumor,t_cell_checkpoint,T cell/checkpoint,10,0.16079234547785431,10,0.024818606659683856,7,-0.1270711358171267,8
primary_tumor,tgfb_emt_invasive,TGF-beta/EMT invasive,10,0.8428619307051488,10,0.5424737107056936,10,-0.5208370157234505,10
treatment_naive_primary,b_plasma_lymphoid,B/plasma lymphoid,5,0.17008687250348314,5,-0.024725304021370645,2,-0.12381187648240455,5
treatment_naive_primary,basal_hypoxic_tumor,Basal-hypoxic tumor,5,0.016171464434211424,3,0.32789093258833873,5,-0.03919689404737857,3
treatment_naive_primary,classical_epithelial,Classical epithelial,5,-0.20663470404359482,0,0.36402243469405315,5,0.0027298686874442078,2
treatment_naive_primary,icaf_cytokine_chemokine,iCAF cytokine/chemokine,5,0.5412648535303449,5,0.01837853238085754,3,-0.21987209166918908,5
treatment_naive_primary,ifn_apc_antigen,IFN/APC antigen,5,0.5714892048986485,5,0.3276224124343944,5,-0.24203122182397435,5
treatment_naive_primary,spp1_tam_matrix,SPP1-TAM/matrix,5,1.145767215286597,5,0.4350021474035526,5,-0.5144090947738893,5
treatment_naive_primary,t_cell_checkpoint,T cell/checkpoint,5,0.08385049899033792,5,-0.04491380387730748,2,-0.05836458197594387,5
treatment_naive_primary,tgfb_emt_invasive,TGF-beta/EMT invasive,5,0.7490298765259843,5,0.2960072454940243,5,-0.41654507689300163,5
