patient_id,program,program_label,metric,comparison_specimen_type,comparison_sample_id,comparison_value,primary_sample_id,primary_value,delta_vs_primary
PT_10,emt_invasion,EMT/invasion,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-3.718776326786e-16,IU_PDA_T10,6.64537233197144e-17,-4.38331355998314e-16
PT_10,emt_invasion,EMT/invasion,mean_score,normal_pancreas,IU_PDA_NP10,1.24028415118439e-16,IU_PDA_T10,6.64537233197144e-17,5.75746917987246e-17
PT_10,emt_invasion,EMT/invasion,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.54043301560262,IU_PDA_T10,-0.408869996747216,-0.131563018855405
PT_10,emt_invasion,EMT/invasion,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.460220713077493,IU_PDA_T10,-0.408869996747216,-0.0513507163302776
PT_10,emt_invasion,EMT/invasion,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.0148494562810036,IU_PDA_T10,-0.408869996747216,0.394020540466212
PT_10,hypoxia,Hypoxia,mean_score,liver_metastasis,IU_PDA_HM10,1.61880434762044e-17,IU_PDA_T10,1.38249483320766e-15,-1.36630678973146e-15
PT_10,hypoxia,Hypoxia,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-4.62576935359055e-17,IU_PDA_T10,1.38249483320766e-15,-1.42875252674357e-15
PT_10,hypoxia,Hypoxia,mean_score,normal_pancreas,IU_PDA_NP10,2.88561047908231e-16,IU_PDA_T10,1.38249483320766e-15,-1.09393378529943e-15
PT_10,hypoxia,Hypoxia,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.266004086220358,IU_PDA_T10,-0.0143363247990243,-0.251667761421333
PT_10,hypoxia,Hypoxia,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,0.165491918637958,IU_PDA_T10,-0.0143363247990243,0.179828243436982
PT_10,hypoxia,Hypoxia,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.136150642731167,IU_PDA_T10,-0.0143363247990243,-0.121814317932143
PT_10,icaf,iCAF,mean_score,liver_metastasis,IU_PDA_HM10,-1.4349845185563e-16,IU_PDA_T10,3.07471366907046e-16,-4.50969818762677e-16
PT_10,icaf,iCAF,mean_score,lymph_node_metastasis,IU_PDA_LNM10,1.98132038420545e-16,IU_PDA_T10,3.07471366907046e-16,-1.09339328486501e-16
PT_10,icaf,iCAF,mean_score,normal_pancreas,IU_PDA_NP10,4.64253039918155e-16,IU_PDA_T10,3.07471366907046e-16,1.56781673011109e-16
PT_10,icaf,iCAF,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.374799683279099,IU_PDA_T10,-0.276724238080122,-0.0980754451989773
PT_10,icaf,iCAF,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.154428105782108,IU_PDA_T10,-0.276724238080122,0.122296132298014
PT_10,icaf,iCAF,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.161480862676494,IU_PDA_T10,-0.276724238080122,0.115243375403628
PT_10,ifn_mhc,IFN/MHC,mean_score,liver_metastasis,IU_PDA_HM10,-4.02797845719231e-16,IU_PDA_T10,2.30339600450078e-16,-6.33137446169309e-16
PT_10,ifn_mhc,IFN/MHC,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-1.94586773134851e-16,IU_PDA_T10,2.30339600450078e-16,-4.24926373584929e-16
PT_10,ifn_mhc,IFN/MHC,mean_score,normal_pancreas,IU_PDA_NP10,3.37323771702869e-16,IU_PDA_T10,2.30339600450078e-16,1.06984171252791e-16
PT_10,ifn_mhc,IFN/MHC,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.702144758860484,IU_PDA_T10,-0.233340460622623,-0.46880429823786
PT_10,ifn_mhc,IFN/MHC,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.0976244062767785,IU_PDA_T10,-0.233340460622623,0.135716054345845
PT_10,ifn_mhc,IFN/MHC,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.0244633600284775,IU_PDA_T10,-0.233340460622623,0.208877100594146
PT_10,immune_core,Immune core,mean_score,liver_metastasis,IU_PDA_HM10,2.26658282278782e-17,IU_PDA_T10,1.17481954238117e-16,-9.48161260102388e-17
PT_10,immune_core,Immune core,mean_score,lymph_node_metastasis,IU_PDA_LNM10,1.25948170889245e-16,IU_PDA_T10,1.17481954238117e-16,8.46621665112834e-18
PT_10,immune_core,Immune core,mean_score,normal_pancreas,IU_PDA_NP10,8.97058587463544e-17,IU_PDA_T10,1.17481954238117e-16,-2.77760954917626e-17
PT_10,immune_core,Immune core,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.670025186395456,IU_PDA_T10,-0.228919078795073,-0.441106107600382
PT_10,immune_core,Immune core,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.217292604834801,IU_PDA_T10,-0.228919078795073,0.0116264739602723
PT_10,immune_core,Immune core,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.125248007574599,IU_PDA_T10,-0.228919078795073,0.103671071220474
PT_10,mycaf,myCAF,mean_score,liver_metastasis,IU_PDA_HM10,-4.04745230741433e-16,IU_PDA_T10,-2.27013638507448e-16,-1.77731592233985e-16
PT_10,mycaf,myCAF,mean_score,lymph_node_metastasis,IU_PDA_LNM10,3.3220627779471e-16,IU_PDA_T10,-2.27013638507448e-16,5.59219916302157e-16
PT_10,mycaf,myCAF,mean_score,normal_pancreas,IU_PDA_NP10,-1.06483645192965e-16,IU_PDA_T10,-2.27013638507448e-16,1.20529993314483e-16
PT_10,mycaf,myCAF,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.74733839300177,IU_PDA_T10,-0.456201460875953,-0.291136932125817
PT_10,mycaf,myCAF,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.401844901812145,IU_PDA_T10,-0.456201460875953,0.0543565590638082
PT_10,mycaf,myCAF,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.28989730605153,IU_PDA_T10,-0.456201460875953,0.166304154824423
PT_10,myeloid,Myeloid,mean_score,liver_metastasis,IU_PDA_HM10,-9.20432233766983e-17,IU_PDA_T10,3.41141097589902e-16,-4.331843209666e-16
PT_10,myeloid,Myeloid,mean_score,lymph_node_metastasis,IU_PDA_LNM10,6.33897218769898e-17,IU_PDA_T10,3.41141097589902e-16,-2.77751375712912e-16
PT_10,myeloid,Myeloid,mean_score,normal_pancreas,IU_PDA_NP10,2.56152285659206e-16,IU_PDA_T10,3.41141097589902e-16,-8.49888119306958e-17
PT_10,myeloid,Myeloid,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.630151046653679,IU_PDA_T10,-0.347096024852819,-0.28305502180086
PT_10,myeloid,Myeloid,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.373678271252742,IU_PDA_T10,-0.347096024852819,-0.0265822463999228
PT_10,myeloid,Myeloid,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.211791619129891,IU_PDA_T10,-0.347096024852819,0.135304405722928
PT_10,neural_schwann,Neural/Schwann,mean_score,liver_metastasis,IU_PDA_HM10,-2.76931578010353e-16,IU_PDA_T10,2.09964239757148e-16,-4.86895817767501e-16
PT_10,neural_schwann,Neural/Schwann,mean_score,lymph_node_metastasis,IU_PDA_LNM10,2.50512644115605e-16,IU_PDA_T10,2.09964239757148e-16,4.05484043584568e-17
PT_10,neural_schwann,Neural/Schwann,mean_score,normal_pancreas,IU_PDA_NP10,-1.02015857679379e-16,IU_PDA_T10,2.09964239757148e-16,-3.11980097436527e-16
PT_10,neural_schwann,Neural/Schwann,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.214505189013947,IU_PDA_T10,-0.0746642491985895,-0.139840939815357
PT_10,neural_schwann,Neural/Schwann,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.0484798760417357,IU_PDA_T10,-0.0746642491985895,0.0261843731568538
PT_10,neural_schwann,Neural/Schwann,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.0296008397459136,IU_PDA_T10,-0.0746642491985895,0.0450634094526759
PT_10,pan_caf,pan-CAF,mean_score,liver_metastasis,IU_PDA_HM10,1.00048634501822e-15,IU_PDA_T10,-1.04003191979303e-16,1.10448953699752e-15
PT_10,pan_caf,pan-CAF,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-2.28392119093796e-16,IU_PDA_T10,-1.04003191979303e-16,-1.24388927114493e-16
PT_10,pan_caf,pan-CAF,mean_score,normal_pancreas,IU_PDA_NP10,-4.35382291452676e-17,IU_PDA_T10,-1.04003191979303e-16,6.04649628340354e-17
PT_10,pan_caf,pan-CAF,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.720148317437066,IU_PDA_T10,-0.452601407375285,-0.267546910061781
PT_10,pan_caf,pan-CAF,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.370155649952769,IU_PDA_T10,-0.452601407375285,0.082445757422516
PT_10,pan_caf,pan-CAF,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.269662177750372,IU_PDA_T10,-0.452601407375285,0.182939229624913
PT_10,plasma_cell,Plasma cell,mean_score,liver_metastasis,IU_PDA_HM10,2.27768504379896e-16,IU_PDA_T10,5.66342232900303e-17,1.71134281089865e-16
PT_10,plasma_cell,Plasma cell,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-2.15205111471083e-18,IU_PDA_T10,5.66342232900303e-17,-5.87862744047411e-17
PT_10,plasma_cell,Plasma cell,mean_score,normal_pancreas,IU_PDA_NP10,5.24195300936943e-17,IU_PDA_T10,5.66342232900303e-17,-4.214693196336e-18
PT_10,plasma_cell,Plasma cell,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.44029652582954,IU_PDA_T10,0.0682573693225659,-0.508553895152106
PT_10,plasma_cell,Plasma cell,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.15157002691881,IU_PDA_T10,0.0682573693225659,-0.219827396241376
PT_10,plasma_cell,Plasma cell,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,0.0409150849250937,IU_PDA_T10,0.0682573693225659,-0.0273422843974722
PT_10,spp1_tam,SPP1/TREM2 TAM,mean_score,liver_metastasis,IU_PDA_HM10,2.54629590115444e-17,IU_PDA_T10,-3.81067781381329e-16,4.06530740392873e-16
PT_10,spp1_tam,SPP1/TREM2 TAM,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-2.16594469364746e-16,IU_PDA_T10,-3.81067781381329e-16,1.64473312016582e-16
PT_10,spp1_tam,SPP1/TREM2 TAM,mean_score,normal_pancreas,IU_PDA_NP10,8.88765775077991e-17,IU_PDA_T10,-3.81067781381329e-16,4.69944358889128e-16
PT_10,spp1_tam,SPP1/TREM2 TAM,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.38629826271179,IU_PDA_T10,-0.328789603377123,-0.0575086593346669
PT_10,spp1_tam,SPP1/TREM2 TAM,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.227784989633239,IU_PDA_T10,-0.328789603377123,0.101004613743884
PT_10,spp1_tam,SPP1/TREM2 TAM,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.136521650402325,IU_PDA_T10,-0.328789603377123,0.192267952974798
PT_10,t_cell,T cell,mean_score,liver_metastasis,IU_PDA_HM10,-2.103009822837e-16,IU_PDA_T10,4.22029171159106e-16,-6.32330153442806e-16
PT_10,t_cell,T cell,mean_score,lymph_node_metastasis,IU_PDA_LNM10,1.3997144819705e-16,IU_PDA_T10,4.22029171159106e-16,-2.82057722962056e-16
PT_10,t_cell,T cell,mean_score,normal_pancreas,IU_PDA_NP10,-1.58111997394009e-16,IU_PDA_T10,4.22029171159106e-16,-5.80141168553115e-16
PT_10,t_cell,T cell,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.306434662143611,IU_PDA_T10,-0.0929867472201501,-0.213447914923461
PT_10,t_cell,T cell,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.13659875980636,IU_PDA_T10,-0.0929867472201501,-0.0436120125862101
PT_10,t_cell,T cell,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.0154278685718362,IU_PDA_T10,-0.0929867472201501,0.0775588786483139
PT_10,tgfb,TGF-beta,mean_score,liver_metastasis,IU_PDA_HM10,6.0381426177534e-17,IU_PDA_T10,2.02519238361597e-16,-1.42137812184063e-16
PT_10,tgfb,TGF-beta,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-1.69618018024983e-16,IU_PDA_T10,2.02519238361597e-16,-3.7213725638658e-16
PT_10,tgfb,TGF-beta,mean_score,normal_pancreas,IU_PDA_NP10,-4.07640540237219e-17,IU_PDA_T10,2.02519238361597e-16,-2.43283292385319e-16
PT_10,tgfb,TGF-beta,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.604785377682692,IU_PDA_T10,-0.318828761719772,-0.28595661596292
PT_10,tgfb,TGF-beta,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.231116963994871,IU_PDA_T10,-0.318828761719772,0.0877117977249011
PT_10,tgfb,TGF-beta,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.176628141642494,IU_PDA_T10,-0.318828761719772,0.142200620077278
PT_10,tumor_aggressive,Tumor-aggressive,mean_score,liver_metastasis,IU_PDA_HM10,-4.07046805404353e-18,IU_PDA_T10,-5.15478609758309e-17,4.74773929217874e-17
PT_10,tumor_aggressive,Tumor-aggressive,mean_score,lymph_node_metastasis,IU_PDA_LNM10,-1.00985726348449e-16,IU_PDA_T10,-5.15478609758309e-17,-4.9437865372618e-17
PT_10,tumor_aggressive,Tumor-aggressive,mean_score,normal_pancreas,IU_PDA_NP10,-7.01780561799533e-17,IU_PDA_T10,-5.15478609758309e-17,-1.86301952041224e-17
PT_10,tumor_aggressive,Tumor-aggressive,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM10,-0.623685131423973,IU_PDA_T10,-0.251483024439827,-0.372202106984146
PT_10,tumor_aggressive,Tumor-aggressive,rho_distance_to_caf_core,lymph_node_metastasis,IU_PDA_LNM10,-0.0252360302877038,IU_PDA_T10,-0.251483024439827,0.226246994152123
PT_10,tumor_aggressive,Tumor-aggressive,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP10,-0.110578913260736,IU_PDA_T10,-0.251483024439827,0.140904111179091
PT_11,apcaf,apCAF,mean_score,liver_metastasis,IU_PDA_HM11,-1.96491964845418e-16,IU_PDA_T11,5.11591551216148e-18,-2.01607880357579e-16
PT_11,apcaf,apCAF,mean_score,normal_pancreas,IU_PDA_NP11,1.79112804744605e-16,IU_PDA_T11,5.11591551216148e-18,1.73996889232444e-16
PT_11,apcaf,apCAF,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM11,-0.0453176545661637,IU_PDA_T11,-0.26737284557662,0.222055191010456
PT_11,apcaf,apCAF,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP11,-0.331108636191817,IU_PDA_T11,-0.26737284557662,-0.0637357906151972
PT_11,b_cell,B cell,mean_score,liver_metastasis,IU_PDA_HM11,1.60015939611572e-17,IU_PDA_T11,7.74654917094358e-16,-7.586533231332e-16
PT_11,b_cell,B cell,mean_score,normal_pancreas,IU_PDA_NP11,4.01085548614786e-17,IU_PDA_T11,7.74654917094358e-16,-7.34546362232879e-16
PT_11,b_cell,B cell,rho_distance_to_caf_core,liver_metastasis,IU_PDA_HM11,-0.324749817667213,IU_PDA_T11,-0.36990460004375,0.045154782376537
PT_11,b_cell,B cell,rho_distance_to_caf_core,normal_pancreas,IU_PDA_NP11,-0.210745389708176,IU_PDA_T11,-0.36990460004375,0.159159210335574
PT_11,basal_like,Basal-like tumor,mean_score,liver_metastasis,IU_PDA_HM11,-2.7668282309195e-16,IU_PDA_T11,5.84304934439129e-16,-8.60987757531079e-16
