target,target_label,metric_scope,fold,permutation,n_train,n_test,spearman_rho,r2
score_tumor_aggressive,tumor aggressive,permuted_all,0,15,289225,289225,-0.009472238874278158,-0.0001900324690560229
score_tumor_aggressive,tumor aggressive,permuted_all,0,16,289225,289225,-0.0012175313709492789,-0.00014584930915528815
score_tumor_aggressive,tumor aggressive,permuted_all,0,17,289225,289225,-0.008038287773838675,-0.00018236834020113335
score_tumor_aggressive,tumor aggressive,permuted_all,0,18,289225,289225,-0.005322212737966184,-0.0001351341701842923
score_tumor_aggressive,tumor aggressive,permuted_all,0,19,289225,289225,0.001178908589777736,-0.00010580454904074443
z_ifn_antigen_presentation,IFN/MHC,observed_fold,1,-1,231255,57970,0.18268912171989998,0.03623820660797494
z_ifn_antigen_presentation,IFN/MHC,observed_fold,2,-1,231315,57910,0.1286108017242569,0.014186010706462526
z_ifn_antigen_presentation,IFN/MHC,observed_fold,3,-1,231313,57912,0.17453296801869975,0.019884603057401584
z_ifn_antigen_presentation,IFN/MHC,observed_fold,4,-1,231465,57760,0.14986179166645078,0.028593797565036883
z_ifn_antigen_presentation,IFN/MHC,observed_fold,5,-1,231552,57673,0.2272415306196407,0.046401482520891935
z_ifn_antigen_presentation,IFN/MHC,observed_all,0,-1,289225,289225,0.17264554472896562,0.029085907074506534
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,0,289225,289225,-0.004132511993569625,-0.00011093856370836264
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,1,289225,289225,-0.005616522209373798,-0.00015228898196650853
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,2,289225,289225,-0.0003145971889105248,-7.012798055927583e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,3,289225,289225,0.0030071170229062014,-7.191055202349084e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,4,289225,289225,-0.0025202432369629602,-0.00010237296483417424
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,5,289225,289225,-0.0038954398069124103,-9.726043502378268e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,6,289225,289225,0.0007713866894119289,-7.150550353163254e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,7,289225,289225,-0.005474428551762311,-0.00011594505312428893
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,8,289225,289225,-0.002249304730206627,-9.856217189541105e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,9,289225,289225,0.0017606253041906957,-9.537177888074844e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,10,289225,289225,0.0016071345987467888,-8.480473608707406e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,11,289225,289225,-0.0070795102630485844,-0.00016489561730503866
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,12,289225,289225,-0.0031658012202923176,-9.497414467318777e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,13,289225,289225,0.0017217361984065572,-8.806978151598699e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,14,289225,289225,-0.0032054945641981675,-0.0001300602188027966
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,15,289225,289225,-0.0027899103099478235,-0.00013786984290131699
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,16,289225,289225,0.0018935382782055794,-8.322899736756817e-05
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,17,289225,289225,-0.005509100400842762,-0.00013522459314252444
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,18,289225,289225,-0.001656028484825039,-0.00010701602570550861
z_ifn_antigen_presentation,IFN/MHC,permuted_all,0,19,289225,289225,0.002357166062389166,-5.805165920369504e-05
score_immune_hub_core,immune core,observed_fold,1,-1,231255,57970,0.22908213349561968,0.05488849480221525
score_immune_hub_core,immune core,observed_fold,2,-1,231315,57910,0.18205448517799094,0.028381968913496314
score_immune_hub_core,immune core,observed_fold,3,-1,231313,57912,0.20078289463059004,0.03472894155071149
score_immune_hub_core,immune core,observed_fold,4,-1,231465,57760,0.1819003599014254,0.03931076283898782
score_immune_hub_core,immune core,observed_fold,5,-1,231552,57673,0.2044438700319482,0.037102093116937684
score_immune_hub_core,immune core,observed_all,0,-1,289225,289225,0.19839758411218159,0.03895970386552394
score_immune_hub_core,immune core,permuted_all,0,0,289225,289225,-0.008966178537999825,-0.00013070725434616293
score_immune_hub_core,immune core,permuted_all,0,1,289225,289225,-0.009131765817233939,-0.00012336757203823545
score_immune_hub_core,immune core,permuted_all,0,2,289225,289225,-0.008073874655625755,-0.00012972339034988956
score_immune_hub_core,immune core,permuted_all,0,3,289225,289225,-0.007891936053055224,-0.00020013361832038612
score_immune_hub_core,immune core,permuted_all,0,4,289225,289225,-0.013211361337483999,-0.00018416334951387725
score_immune_hub_core,immune core,permuted_all,0,5,289225,289225,-0.0028880317032036994,-6.428648076628463e-05
score_immune_hub_core,immune core,permuted_all,0,6,289225,289225,-0.005308930584361973,-0.00014599904953227494
score_immune_hub_core,immune core,permuted_all,0,7,289225,289225,-0.0035805375974494597,-8.667412880036807e-05
score_immune_hub_core,immune core,permuted_all,0,8,289225,289225,-0.003930933611043058,-0.000110459076792635
score_immune_hub_core,immune core,permuted_all,0,9,289225,289225,-0.01028664135678712,-0.0001228112543127935
score_immune_hub_core,immune core,permuted_all,0,10,289225,289225,-0.0007578119849897611,-4.242714733493358e-05
score_immune_hub_core,immune core,permuted_all,0,11,289225,289225,-0.0035921369582394007,-0.0001298102561106962
score_immune_hub_core,immune core,permuted_all,0,12,289225,289225,-0.01044002380329611,-0.0001879842105596552
score_immune_hub_core,immune core,permuted_all,0,13,289225,289225,-0.005445480485177066,-0.00010791025387857367
score_immune_hub_core,immune core,permuted_all,0,14,289225,289225,-0.0033538425131153108,-0.00011732287063015434
score_immune_hub_core,immune core,permuted_all,0,15,289225,289225,-0.0036102318599655282,-0.00010700252785578179
score_immune_hub_core,immune core,permuted_all,0,16,289225,289225,-0.0005564599468997747,-3.331872670631064e-05
score_immune_hub_core,immune core,permuted_all,0,17,289225,289225,0.00035096176305456024,-4.2058004906753155e-05
score_immune_hub_core,immune core,permuted_all,0,18,289225,289225,-0.011533946359968192,-0.000170282742828487
score_immune_hub_core,immune core,permuted_all,0,19,289225,289225,-0.006650220657494474,-0.00015584610483276862
