cohort_context,n_samples,median_stromal_tumor_core_coupling,median_immune_core_coupling,median_immune_decoupling_index,n_decoupled
liver_metastasis,12,1.0671332150564004,0.717487614483187,0.34750907918161544,12
lymph_node_metastasis,5,1.0726921078514309,-0.1036499088094264,1.050430408681567,5
normal_pancreas,3,1.202690665679349,0.8485108119441162,0.35417985373523286,3
post_neoadjuvant_sections,108,1.0102037738125307,0.4810958280798341,0.5423627271911102,101
primary_tumor,10,0.9639394391996077,0.4692699572915106,0.42565294764445805,10
treatment_naive_primary,5,0.8217432888558638,0.3903279783339824,0.3022019428918626,5
