analysis,left_out_sample,n_samples_included,IFN_MHC_median_delta,immune_core_median_delta,tumor_aggressive_median_delta,immune_decoupling_index,stromal_tumor_core_coupling,immune_core_coupling,IFN_MHC_support_n,immune_core_support_n,tumor_aggressive_support_n
all_LN_samples,none,5,0.0058580002497711,0.232690395463584,-0.395404540835516,1.050430408681567,1.0726921078514309,-0.1036499088094264,2,2,5
leave_one_out,IU_PDA_LNM10,4,0.09538702009588505,0.2396114203504905,-0.4230306912789995,1.1361004882668444,1.0977109129897706,-0.12636418440505864,1,1,4
leave_one_out,IU_PDA_LNM12,4,-0.041332896595778254,0.011206915640007004,-0.3827273453105745,0.9118307182444029,1.0347551090001257,0.17544104151343248,2,2,4
leave_one_out,IU_PDA_LNM6,4,0.048196123250335704,0.018127940526913508,-0.3827273453105745,0.9975007978296803,1.0977109129897706,0.15272676591780027,2,2,4
leave_one_out,IU_PDA_LNM7,4,-0.041332896595778254,0.011206915640007004,-0.410353495754058,0.9118307182444029,1.0097363038617857,0.17544104151343248,2,2,4
leave_one_out,IU_PDA_LNM8,4,0.09538702009588505,0.2396114203504905,-0.4230306912789995,1.1361004882668444,1.0097363038617857,-0.12636418440505864,1,1,4
