dataset,tissue_site,target_program,null_type,n_samples,median_observed_rho,median_null,median_delta,support_n,support_fraction,median_empirical_p,context_label,panel,anchor_type,core_module,target_module,sensitivity_mode,target_removed_status,shared_genes_n,target_genes_n,remaining_target_genes_n,jaccard_index,percent_target_shared_with_core,median_overlap_sensitive_delta,shared_gene_symbols,dataset_id,sample_id,specimen_type,delta_vs_null_median__IFN_MHC,delta_vs_null_median__immune_core,delta_vs_null_median__tumor_aggressive,empirical_p_more_negative__IFN_MHC,empirical_p_more_negative__immune_core,empirical_p_more_negative__tumor_aggressive,null_median_rho__IFN_MHC,null_median_rho__immune_core,null_median_rho__tumor_aggressive,observed_rho__IFN_MHC,observed_rho__immune_core,observed_rho__tumor_aggressive,stromal_tumor_core_coupling,immune_core_coupling,immune_decoupling_index,core_enrichment__IFN/MHC,core_enrichment__immune core,core_enrichment__tumor aggressive,dominant_nmf_ecotype,dominant_nmf_ecotype_label,analysis,left_out_sample,n_samples_included,IFN_MHC_median_delta,immune_core_median_delta,tumor_aggressive_median_delta,IFN_MHC_support_n,immune_core_support_n,tumor_aggressive_support_n,rank,n_runs,n_features,reconstruction_error_mean,reconstruction_error_sd,reconstruction_error_best,relative_error_mean,explained_fraction_mean,explained_fraction_best,ari_mean,ari_sd,component_cosine_to_best_mean,component_cosine_to_best_sd,n_converged_runs,n_not_converged_runs,min_dominant_component_n_best,max_dominant_component_n_best,consensus_pac_0.1_0.9,consensus_cophenetic,delta_explained_from_previous_rank,delta_best_explained_from_previous_rank,init,seed,reconstruction_error,relative_error,explained_fraction,n_iter,converged,min_dominant_component_n,max_dominant_component_n,component_labels
GSE272362,primary_tumor,immune-core,spatially_contiguous_random_core,10.0,-0.2014246273925878,-0.0416657588229748,-0.1473585024725416,9.0,0.9,0.1118881118881118,"GSE272362
primary",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE272362,primary_tumor,tumor-aggressive,spatially_contiguous_random_core,10.0,-0.28248214804208,-0.0986748688694558,-0.1785235309238156,8.0,0.8,0.2802197802197802,"GSE272362
primary",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274103,metadata_required,IFN/MHC,spatially_contiguous_random_core,5.0,-0.2505064622505044,0.0047926387375248,-0.237304048321899,5.0,1.0,0.0009990009990009,"GSE274103
treatment-naive",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274103,metadata_required,SPP1/TAM,spatially_contiguous_random_core,5.0,-0.3540934379804483,-0.0546706811082155,-0.2813644349522594,5.0,1.0,0.0009990009990009,"GSE274103
treatment-naive",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274103,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,5.0,-0.2917567859832506,-0.0206589853612151,-0.3170881169579724,5.0,1.0,0.0009990009990009,"GSE274103
treatment-naive",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274103,metadata_required,immune-core,spatially_contiguous_random_core,5.0,-0.1619453933081509,0.0293628268223592,-0.2362241452054694,5.0,1.0,0.0469530469530469,"GSE274103
treatment-naive",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274103,metadata_required,tumor-aggressive,spatially_contiguous_random_core,5.0,-0.1483491760268272,-0.0173040451894246,-0.1669936399619632,4.0,0.8,0.2077922077922078,"GSE274103
treatment-naive",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,liver_metastasis,IFN/MHC,spatially_contiguous_random_core,16.0,-0.2989940922660785,-0.025344153223793,-0.2689741517056919,15.0,0.9375,0.0144855144855144,"GSE274557
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,liver_metastasis,SPP1/TAM,spatially_contiguous_random_core,16.0,-0.377674558195789,-0.06622340750099,-0.316424006707301,16.0,1.0,0.0009990009990009,"GSE274557
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,liver_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,16.0,-0.4390167216111905,-0.051025482046944,-0.4044939733515844,16.0,1.0,0.0009990009990009,"GSE274557
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE274557,liver_metastasis,immune-core,spatially_contiguous_random_core,16.0,-0.3151963198124798,-0.0252848244388991,-0.2827880494800371,15.0,0.9375,0.0049950049950049,"GSE274557
liver met",A_contiguous_null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
