dataset,tissue_site,target_program,null_type,n_samples,median_observed_rho,median_null,median_delta,support_n,support_fraction,median_empirical_p
GSE274103,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,5,-0.2917567859832506,-0.020658985361215118,-0.31708811695797245,5,1.0,0.000999000999000999
GSE274103,metadata_required,immune-core,spatially_contiguous_random_core,5,-0.16194539330815097,0.02936282682235924,-0.23622414520546942,5,1.0,0.04695304695304695
GSE274103,metadata_required,myCAF/matrix,spatially_contiguous_random_core,5,-0.37345261589150813,0.004137217353331866,-0.4533174405617474,5,1.0,0.000999000999000999
GSE274103,metadata_required,tumor epithelial,spatially_contiguous_random_core,5,-0.02175584016428485,-0.0349695499679961,-0.006139907022538443,3,0.6,0.4905094905094905
GSE274103,metadata_required,tumor-aggressive,spatially_contiguous_random_core,5,-0.1483491760268272,-0.017304045189424605,-0.16699363996196326,4,0.8,0.2077922077922078
GSE274557,liver_metastasis,IFN/MHC,spatially_contiguous_random_core,16,-0.2989940922660785,-0.025344153223793,-0.26897415170569194,15,0.9375,0.014485514485514488
GSE274557,liver_metastasis,SPP1/TAM,spatially_contiguous_random_core,16,-0.377674558195789,-0.06622340750099004,-0.316424006707301,16,1.0,0.000999000999000999
GSE274557,liver_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,16,-0.43901672161119054,-0.05102548204694403,-0.4044939733515844,16,1.0,0.000999000999000999
GSE274557,liver_metastasis,immune-core,spatially_contiguous_random_core,16,-0.31519631981247986,-0.025284824438899192,-0.2827880494800371,15,0.9375,0.004995004995004995
GSE274557,liver_metastasis,myCAF/matrix,spatially_contiguous_random_core,16,-0.5148488939908112,-0.04473256508469969,-0.4534646289740154,16,1.0,0.000999000999000999
GSE274557,liver_metastasis,tumor epithelial,spatially_contiguous_random_core,16,-0.1376419534184358,-0.06638449607638514,-0.10248358975393196,10,0.625,0.36013986013986016
GSE274557,liver_metastasis,tumor-aggressive,spatially_contiguous_random_core,16,-0.2909660268986294,-0.09771971796018718,-0.1666814965954911,10,0.625,0.15334665334665334
GSE274557,lung_metastasis,IFN/MHC,spatially_contiguous_random_core,6,-0.40042749060363536,-0.029137249641686992,-0.39941694090802804,5,0.8333333333333334,0.000999000999000999
GSE274557,lung_metastasis,SPP1/TAM,spatially_contiguous_random_core,6,-0.43086554137493616,-0.05517664445174231,-0.37568889692319385,6,1.0,0.000999000999000999
GSE274557,lung_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,6,-0.3553827033562678,-0.05485624159867138,-0.30052646175759645,6,1.0,0.000999000999000999
GSE274557,lung_metastasis,immune-core,spatially_contiguous_random_core,6,-0.38532543652127055,-0.005298286943018043,-0.39122615263267657,6,1.0,0.002997002997002997
GSE274557,lung_metastasis,myCAF/matrix,spatially_contiguous_random_core,6,-0.43913082763086,0.030571107008499115,-0.4457773332126349,6,1.0,0.000999000999000999
GSE274557,lung_metastasis,tumor epithelial,spatially_contiguous_random_core,6,0.02176144997999338,-0.004838280606271863,0.0728601437355927,3,0.5,0.577922077922078
GSE274557,lung_metastasis,tumor-aggressive,spatially_contiguous_random_core,6,-0.05002142651445806,-0.05017752094320106,-0.01720765666532856,4,0.6666666666666666,0.4775224775224775
GSE274557,peritoneal_metastasis,IFN/MHC,spatially_contiguous_random_core,14,-0.2467434896954573,-0.0283227763967607,-0.22086180948188996,14,1.0,0.000999000999000999
GSE274557,peritoneal_metastasis,SPP1/TAM,spatially_contiguous_random_core,14,-0.3634032388442633,-0.03684105136462551,-0.34931109739834343,14,1.0,0.000999000999000999
GSE274557,peritoneal_metastasis,TGF-beta/EMT,spatially_contiguous_random_core,14,-0.33712342444376503,-0.03474997391254295,-0.3459550064516808,13,0.9285714285714286,0.000999000999000999
GSE274557,peritoneal_metastasis,immune-core,spatially_contiguous_random_core,14,-0.2808813536833893,-0.015792903396031868,-0.2769810027931229,14,1.0,0.000999000999000999
GSE274557,peritoneal_metastasis,myCAF/matrix,spatially_contiguous_random_core,14,-0.4878691115421121,0.01859618502975962,-0.5144770174396711,14,1.0,0.000999000999000999
GSE274557,peritoneal_metastasis,tumor epithelial,spatially_contiguous_random_core,14,-0.09331647239884173,-0.07139731404736865,0.047796719411268306,6,0.42857142857142855,0.5614385614385615
GSE274557,peritoneal_metastasis,tumor-aggressive,spatially_contiguous_random_core,14,-0.24581127797432767,-0.07584620942656473,-0.20244585485745,11,0.7857142857142857,0.24525474525474528
GSE274557,primary_tumor,IFN/MHC,spatially_contiguous_random_core,19,-0.2851856943514236,-0.026577576587273135,-0.2456884366538928,19,1.0,0.003996003996003996
GSE274557,primary_tumor,SPP1/TAM,spatially_contiguous_random_core,19,-0.34134785093736,-0.02429159762599465,-0.27960056394127986,19,1.0,0.000999000999000999
GSE274557,primary_tumor,TGF-beta/EMT,spatially_contiguous_random_core,19,-0.35982089232777403,-0.04213519594447914,-0.3377978383014188,19,1.0,0.000999000999000999
GSE274557,primary_tumor,immune-core,spatially_contiguous_random_core,19,-0.2975309733480515,-0.030110414344486455,-0.29175557288503035,19,1.0,0.000999000999000999
GSE274557,primary_tumor,myCAF/matrix,spatially_contiguous_random_core,19,-0.46343764607900784,-0.03232625415511495,-0.4138509759970778,19,1.0,0.000999000999000999
GSE274557,primary_tumor,tumor epithelial,spatially_contiguous_random_core,19,0.02856386149275752,-0.0537804909274428,0.06298682424961957,9,0.47368421052631576,0.5374625374625375
GSE274557,primary_tumor,tumor-aggressive,spatially_contiguous_random_core,19,-0.13523892302646834,-0.034457460527214365,-0.058330203767691394,13,0.6842105263157895,0.45054945054945056
GSE282302,metadata_required,IFN/MHC,spatially_contiguous_random_core,108,-0.2942630472397766,-0.03278836688360101,-0.26109493955002455,92,0.8518518518518519,0.08591408591408592
GSE282302,metadata_required,SPP1/TAM,spatially_contiguous_random_core,108,-0.41360811553126553,-0.04299958722832985,-0.3684482324563232,102,0.9444444444444444,0.000999000999000999
GSE282302,metadata_required,TGF-beta/EMT,spatially_contiguous_random_core,108,-0.5683318474672301,-0.030182123244320774,-0.5256646355536183,104,0.9629629629629629,0.000999000999000999
GSE282302,metadata_required,immune-core,spatially_contiguous_random_core,108,-0.22245241089596646,0.00012753254586462946,-0.17546448594360495,89,0.8240740740740741,0.17682317682317683
GSE282302,metadata_required,myCAF/matrix,spatially_contiguous_random_core,108,-0.5832507728486929,0.006258290351331904,-0.5485332109813817,108,1.0,0.000999000999000999
GSE282302,metadata_required,tumor epithelial,spatially_contiguous_random_core,108,0.1205045937560896,-0.06639949333403046,0.16651416121260842,30,0.2777777777777778,0.6958041958041958
GSE282302,metadata_required,tumor-aggressive,spatially_contiguous_random_core,108,-0.3448240336101036,-0.05077850895032074,-0.2750915459507441,91,0.8425925925925926,0.06793206793206794
