title,geo_accession,tissue,treatment,tissue.type,dcc_id,sample_id,roi_id,patient_id,aoi_type,caf_mycaf,pancaf_matrix,myeloid_macrophage,spp1_tam,tgfb_emt,ifn_apc,immune_core,t_cell,b_plasma,tumor_aggressive,tumor_epithelial
"65.2,tumor [DSP-1001660005320-D-B04]",GSM7680979,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-B04.dcc,65.2,65.2,65,tumor,-0.693495158370142,-0.654115875756319,-0.57009178403065,-0.186437430750142,-0.43410285164629,-0.0679919185661219,0.0658658985388167,-0.218676605153083,,-0.200742287264244,0.423455821016359
"65.2,stroma [DSP-1001660005320-D-B05]",GSM7680980,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-B05.dcc,65.2,65.2,65,stroma,-0.0755219813094699,-0.275398910535916,1.42950630769358,-0.641162354398525,-0.283166968401058,0.954762171808852,1.57426311307042,0.84266613745942,,-0.530577462751084,-0.736308015992939
"65.3,tumor [DSP-1001660005320-D-B06]",GSM7680981,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-B06.dcc,65.3,65.3,65,tumor,-0.64252158861326,-0.816719322795131,-0.280538454286693,0.0982233763960293,-0.629044535980131,-0.178881366664874,-0.379654975794796,-0.53188573868254,,-0.170702842812087,0.229434331973868
"65.3,stroma [DSP-1001660005320-D-B07]",GSM7680982,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-B07.dcc,65.3,65.3,65,stroma,0.0590926588379368,-0.316666277701759,0.550315496686252,-0.00719900667570381,-0.382739934163408,0.444100426144905,0.623569328817521,0.405671051501565,,-0.53121753019171,-0.636777008582571
"96.1,tumor [DSP-1001660005320-D-B08]",GSM7680983,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-B08.dcc,96.1,96.1,96,tumor,-0.766508350842589,-0.722749792026234,-0.275849343512147,-0.196821690763096,-0.0285241733965268,-0.527865412981573,-0.610691961351495,-0.539171377626577,,-0.0585317529685683,1.00013354101027
"96.1,stroma [DSP-1001660005320-D-B09]",GSM7680984,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-B09.dcc,96.1,96.1,96,stroma,-0.534256491113811,-0.246626213077506,0.143573575503489,-0.295036705287233,-0.0823075201248534,-0.345021837781829,0.171492984363654,0.503863651204337,,-0.519598497095323,-0.474904203761682
"96.2,tumor [DSP-1001660005320-D-B10]",GSM7680985,Pancreatic Ductal Adenocarcinoma,Treated,tumor,DSP-1001660005320-D-B10.dcc,96.2,96.2,96,tumor,-0.745223635006955,-0.590377405288916,-0.448228210194281,0.988849429322663,0.143238045473211,-0.311434725063192,-0.743474880997774,-0.681966695803492,,0.740766739725169,1.22418223434121
"96.2,stroma [DSP-1001660005320-D-B11]",GSM7680986,Pancreatic Ductal Adenocarcinoma,Treated,stroma,DSP-1001660005320-D-B11.dcc,96.2,96.2,96,stroma,-0.308521467278872,-0.337726439416914,0.857657929143399,1.37855631563172,-0.0623387781867684,-0.344934736369734,-0.574813250188923,-0.112593146714464,,-0.167688496195627,0.198151554388666
"10.1,tumor [DSP-1001660005320-D-B12]",GSM7680987,Pancreatic Ductal Adenocarcinoma,Naïve,tumor,DSP-1001660005320-D-B12.dcc,10.1,10.1,10,tumor,-0.789945184546799,-0.883952126320631,-0.492437729344028,0.471925708198652,-0.327608845055355,-0.675979230790673,-0.821581557215601,-0.805024799561852,,0.17787834407828,0.72143013861263
"10.1,stroma [DSP-1001660005320-D-C01]",GSM7680988,Pancreatic Ductal Adenocarcinoma,Naïve,stroma,DSP-1001660005320-D-C01.dcc,10.1,10.1,10,stroma,-0.660055465106216,-0.680395131634298,-0.292295875164706,0.0267604935186437,-0.351058007074273,-0.458352984811958,-0.0576143075456986,-0.201996060645986,,0.184457107233812,0.623194295432593
